battery_id,discharge_cycle,ambient_temperature,capacity_ah,voltage_mean,voltage_min,voltage_std,voltage_drop_rate,current_mean,current_std,temperature_max,temperature_mean,discharge_duration_s,rul_cycles,capacity_3cy_slope,voltage_mean_3cy_avg
B0005,3,24,1.8353491942234077,3.5437367282719,2.6519168938437794,0.22752543549673088,0.0002357120336097321,-1.8164865418840956,0.5964980204475099,38.818796689817404,32.64286193755933,3651.641,108,-0.010569113297374543,3.5369618416424036
B0005,4,24,1.8352625275821128,3.5436661072601456,2.592947964776547,0.23274431724182537,0.00024074462151655985,-1.8255891938692528,0.5834624841611844,38.7623045063458,32.51487646204882,3631.563,107,-0.005532361068907054,3.541574321106006
B0005,5,24,1.8346455082120419,3.5423432526672167,2.547419651124539,0.2366885716567803,0.00024325157183913428,-1.8261139590277586,0.5834685498827803,38.66539257343368,32.38234901543077,3629.172,106,-0.0003518430056827936,3.5432486960664207
B0005,6,24,1.8356616600675495,3.5413347346347575,2.5209480504077413,0.23931625998293235,0.0002427213828768501,-1.8168108743168803,0.5967015706365189,38.75169504640032,32.43418218230641,3652.281,105,0.0001995662427184637,3.5424480315207063
B0005,7,24,1.8351461429226603,3.5410250495075215,2.487927319492314,0.2425153341196382,0.00024505426396118595,-1.816791144707133,0.5964919190059063,38.8207012322275,32.480416444757985,3650.828,104,0.0002503173553095772,3.5415676789364987
B0005,8,24,1.8257567905665537,3.554133296801584,2.6652049047458775,0.22731251096165395,0.00024428513145947743,-1.8443412120754061,0.5573831672048897,38.51713023385634,32.41046186109587,3572.453,103,-0.004952434750497463,3.5454976936479543
B0005,9,24,1.8247738529891333,3.5529355991467955,2.6038584726333673,0.2324538495076242,0.0002511180707977222,-1.853972745505648,0.5424840616663397,38.526267904657,32.3461408313,3550.594,102,-0.00518614496676341,3.5493646484853003
B0005,10,24,1.824613268496936,3.5512057319376997,2.552853984885676,0.23672870147542147,0.0002536624974251689,-1.8535899338510957,0.5423346882876612,38.52698128472781,32.27679750791685,3551.25,101,-0.0005717610348086518,3.55275820929536
B0005,11,24,1.8246195526864504,3.549292319740949,2.4724483018527317,0.2430973444996006,0.00026135273163367076,-1.863380178294828,0.5267409991401001,38.54143406601644,32.15709350345252,3530.25,100,-7.715015134098379e-05,3.5511445502751484
B0005,12,24,1.8142019357673917,3.559759220648976,2.64956413267546,0.22886185175957943,0.00025599320879744715,-1.872968810287894,0.5116979707844124,38.52197451768004,32.36407129853099,3491.016,99,-0.005205666364771798,3.553419090775875
